old_shopify_url,content_type,current_handle_slug,proposed_nextjs_url,action,notes
/blogs/blog/how-to-train-leg-locks-safely,article,how-to-train-leg-locks-safely,/blogs/blog/how-to-train-leg-locks-safely,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/if-sambo-was-easy-it-would-be-called-jiu-jitsu,article,if-sambo-was-easy-it-would-be-called-jiu-jitsu,/blogs/blog/if-sambo-was-easy-it-would-be-called-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/importance-footwork-jiu-jitsu,article,importance-footwork-jiu-jitsu,/blogs/blog/importance-footwork-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/important-tips-for-beginners,article,important-tips-for-beginners,/blogs/blog/important-tips-for-beginners,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/jiu-jitsu-better-dieting,article,jiu-jitsu-better-dieting,/blogs/blog/jiu-jitsu-better-dieting,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/jiu-jitsu-mat-etiquette,article,jiu-jitsu-mat-etiquette,/blogs/blog/jiu-jitsu-mat-etiquette,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/jiu-jitsu-vs-karate,article,jiu-jitsu-vs-karate,/blogs/blog/jiu-jitsu-vs-karate,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/joint-locks-in-jiu-jitsu,article,joint-locks-in-jiu-jitsu,/blogs/blog/joint-locks-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/just-what-are-fundamentals,article,just-what-are-fundamentals,/blogs/blog/just-what-are-fundamentals,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/law-strength-training,article,law-strength-training,/blogs/blog/law-strength-training,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/leg-locks-101,article,leg-locks-101,/blogs/blog/leg-locks-101,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/main-positions-jiu-jitsu,article,main-positions-jiu-jitsu,/blogs/blog/main-positions-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/martial-arts-styles,article,martial-arts-styles,/blogs/blog/martial-arts-styles,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/mauricio-gomes-the-legacy-of-a-jiu-jitsu-pioneer,article,mauricio-gomes-the-legacy-of-a-jiu-jitsu-pioneer,/blogs/blog/mauricio-gomes-the-legacy-of-a-jiu-jitsu-pioneer,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/mauricios-advice-when-you-are-currently-unable-to-train,article,mauricios-advice-when-you-are-currently-unable-to-train,/blogs/blog/mauricios-advice-when-you-are-currently-unable-to-train,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/mobility-training-for-jiu-jitsu,article,mobility-training-for-jiu-jitsu,/blogs/blog/mobility-training-for-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/my-journey-into-footlocks,article,my-journey-into-footlocks,/blogs/blog/my-journey-into-footlocks,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/myths-and-misunderstandings-about-fat-loss,article,myths-and-misunderstandings-about-fat-loss,/blogs/blog/myths-and-misunderstandings-about-fat-loss,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/no-bad-positions-in-jiu-jitsu,article,no-bad-positions-in-jiu-jitsu,/blogs/blog/no-bad-positions-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/no-you-didnt-start-jiu-jitsu-too-late,article,no-you-didnt-start-jiu-jitsu-too-late,/blogs/blog/no-you-didnt-start-jiu-jitsu-too-late,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/pareto-principle-for-jiu-jitsu,article,pareto-principle-for-jiu-jitsu,/blogs/blog/pareto-principle-for-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/passivity-as-a-tool-for-self-defence,article,passivity-as-a-tool-for-self-defence,/blogs/blog/passivity-as-a-tool-for-self-defence,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/physical-health-and-fitness-benefits-of-brazilian-jiu-jitsu,article,physical-health-and-fitness-benefits-of-brazilian-jiu-jitsu,/blogs/blog/physical-health-and-fitness-benefits-of-brazilian-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/positional-hierarchy-and-strategy,article,positional-hierarchy-and-strategy,/blogs/blog/positional-hierarchy-and-strategy,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/positional-sparring-in-brazilian-jiu-jitsu-the-key-to-mastery,article,positional-sparring-in-brazilian-jiu-jitsu-the-key-to-mastery,/blogs/blog/positional-sparring-in-brazilian-jiu-jitsu-the-key-to-mastery,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/positional-study-shin-to-shin-single-leg-x-ashi-garami,article,positional-study-shin-to-shin-single-leg-x-ashi-garami,/blogs/blog/positional-study-shin-to-shin-single-leg-x-ashi-garami,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/preparing-for-the-podium-a-beginner-s-guide-to-bjj-rules,article,preparing-for-the-podium-a-beginner-s-guide-to-bjj-rules,/blogs/blog/preparing-for-the-podium-a-beginner-s-guide-to-bjj-rules,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/protect-and-heal-your-neck-in-jiu-jitsu,article,protect-and-heal-your-neck-in-jiu-jitsu,/blogs/blog/protect-and-heal-your-neck-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/reflections-on-my-early-days,article,reflections-on-my-early-days,/blogs/blog/reflections-on-my-early-days,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/return-of-the-long-lost-gracie-gold-medal,article,return-of-the-long-lost-gracie-gold-medal,/blogs/blog/return-of-the-long-lost-gracie-gold-medal,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/rib-injuries-in-jiu-jitsu,article,rib-injuries-in-jiu-jitsu,/blogs/blog/rib-injuries-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/rickson-gracie-jiu-jitsus-living-legend,article,rickson-gracie-jiu-jitsus-living-legend,/blogs/blog/rickson-gracie-jiu-jitsus-living-legend,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/roger-gracie,article,roger-gracie,/blogs/blog/roger-gracie,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/roger-gracies-father-sparring-aged-64,article,roger-gracies-father-sparring-aged-64,/blogs/blog/roger-gracies-father-sparring-aged-64,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/rolls-gracie-vs-rickson-gracie,article,rolls-gracie-vs-rickson-gracie,/blogs/blog/rolls-gracie-vs-rickson-gracie,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/rolls-rickson-renzo-or-roger-gracie-who-was-the-best,article,rolls-rickson-renzo-or-roger-gracie-who-was-the-best,/blogs/blog/rolls-rickson-renzo-or-roger-gracie-who-was-the-best,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/should-you-train-bjj-when-youre-sick-doctor-and-black-belt-explains,article,should-you-train-bjj-when-youre-sick-doctor-and-black-belt-explains,/blogs/blog/should-you-train-bjj-when-youre-sick-doctor-and-black-belt-explains,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/sleep-and-the-jiu-jitsu-practitioner,article,sleep-and-the-jiu-jitsu-practitioner,/blogs/blog/sleep-and-the-jiu-jitsu-practitioner,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/spring-super-seminar,article,spring-super-seminar,/blogs/blog/spring-super-seminar,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ. Editorial event; keep this blog URL (do not move to /events/archive/). Same handle also exists as a page.
/blogs/blog/stronger-healthier-shoulders-for-jiu-jitsu,article,stronger-healthier-shoulders-for-jiu-jitsu,/blogs/blog/stronger-healthier-shoulders-for-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/summer-seaside-special,article,summer-seaside-special,/blogs/blog/summer-seaside-special,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ. Editorial event; keep this blog URL (do not move to /events/archive/). Same handle also exists as a page.
/blogs/blog/taking-inspiration-from-helvecio-penna,article,taking-inspiration-from-helvecio-penna,/blogs/blog/taking-inspiration-from-helvecio-penna,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-art-of-verbal-jiu-jitsu,article,the-art-of-verbal-jiu-jitsu,/blogs/blog/the-art-of-verbal-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-doctor-who-quit-medicine-to-teach-jiu-jitsu,article,the-doctor-who-quit-medicine-to-teach-jiu-jitsu,/blogs/blog/the-doctor-who-quit-medicine-to-teach-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-evolution-of-jiu-jitsu,article,the-evolution-of-jiu-jitsu,/blogs/blog/the-evolution-of-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-first-mma-match-caught-on-film,article,the-first-mma-match-caught-on-film,/blogs/blog/the-first-mma-match-caught-on-film,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-gracies-first-family-of-jiu-jitsu,article,the-gracies-first-family-of-jiu-jitsu,/blogs/blog/the-gracies-first-family-of-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-history-of-brazilian-jiu-jitsu,article,the-history-of-brazilian-jiu-jitsu,/blogs/blog/the-history-of-brazilian-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-mauricio-gomes-chronicles-part-1,article,the-mauricio-gomes-chronicles-part-1,/blogs/blog/the-mauricio-gomes-chronicles-part-1,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-mauricio-gomes-chronicles-part-2,article,the-mauricio-gomes-chronicles-part-2,/blogs/blog/the-mauricio-gomes-chronicles-part-2,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-mauricio-gomes-chronicles-part-3,article,the-mauricio-gomes-chronicles-part-3,/blogs/blog/the-mauricio-gomes-chronicles-part-3,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-neck-grappling-arts-and-tech-devices,article,the-neck-grappling-arts-and-tech-devices,/blogs/blog/the-neck-grappling-arts-and-tech-devices,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-one-supplement-all-jiu-jitsu-athletes-should-take,article,the-one-supplement-all-jiu-jitsu-athletes-should-take,/blogs/blog/the-one-supplement-all-jiu-jitsu-athletes-should-take,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-rear-naked-choke-the-king-of-submissions,article,the-rear-naked-choke-the-king-of-submissions,/blogs/blog/the-rear-naked-choke-the-king-of-submissions,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-science-of-jiu-jitsu,article,the-science-of-jiu-jitsu,/blogs/blog/the-science-of-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-single-leg-takedown-a-conceptual-approach,article,the-single-leg-takedown-a-conceptual-approach,/blogs/blog/the-single-leg-takedown-a-conceptual-approach,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-story-of-rolls-gracie-and-bob-anderson,article,the-story-of-rolls-gracie-and-bob-anderson,/blogs/blog/the-story-of-rolls-gracie-and-bob-anderson,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-surprising-health-benefits-of-strength-training,article,the-surprising-health-benefits-of-strength-training,/blogs/blog/the-surprising-health-benefits-of-strength-training,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-tokugawa-gi-story,article,the-tokugawa-gi-story,/blogs/blog/the-tokugawa-gi-story,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-top-7-shoulder-conditions-effecting-grapplers,article,the-top-7-shoulder-conditions-effecting-grapplers,/blogs/blog/the-top-7-shoulder-conditions-effecting-grapplers,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/the-world-of-grappling-an-a-z-tour-of-wrestling-arts,article,the-world-of-grappling-an-a-z-tour-of-wrestling-arts,/blogs/blog/the-world-of-grappling-an-a-z-tour-of-wrestling-arts,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/top-5-injury-prevention-stretches-for-jiu-jitsu,article,top-5-injury-prevention-stretches-for-jiu-jitsu,/blogs/blog/top-5-injury-prevention-stretches-for-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/understanding-takedowns-in-jiu-jitsu,article,understanding-takedowns-in-jiu-jitsu,/blogs/blog/understanding-takedowns-in-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/using-heart-rate-variability-to-monitor-your-training,article,using-heart-rate-variability-to-monitor-your-training,/blogs/blog/using-heart-rate-variability-to-monitor-your-training,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/using-your-minds-eye-visualization-for-jiu-jitsu,article,using-your-minds-eye-visualization-for-jiu-jitsu,/blogs/blog/using-your-minds-eye-visualization-for-jiu-jitsu,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/vintage-newaza-footage-from-1949,article,vintage-newaza-footage-from-1949,/blogs/blog/vintage-newaza-footage-from-1949,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/what-it-really-takes-to-earn-a-bjj-black-belt,article,what-it-really-takes-to-earn-a-bjj-black-belt,/blogs/blog/what-it-really-takes-to-earn-a-bjj-black-belt,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/what-kit-and-equipment-will-you-need-for-bjj,article,what-kit-and-equipment-will-you-need-for-bjj,/blogs/blog/what-kit-and-equipment-will-you-need-for-bjj,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/why-concepts-are-better-than-techniques-in-bjj,article,why-concepts-are-better-than-techniques-in-bjj,/blogs/blog/why-concepts-are-better-than-techniques-in-bjj,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
/blogs/blog/why-discipline-not-insight-changes-a-life,article,why-discipline-not-insight-changes-a-life,/blogs/blog/why-discipline-not-insight-changes-a-life,PRESERVE,Blog handle blog. Published. Live sitemap. Internal model may differ.
