record_kind,content_role,shopify_id,title,handle,blog_handle,blog_title,canonical_url,is_published,published_at,created_at,updated_at,author,has_summary,summary_chars,body_format,body_chars_text,body_bytes,has_featured_image,featured_image_url,featured_image_alt,seo_title,seo_description,tags,inline_image_count,youtube_or_iframe,iframe_count,internal_link_count,external_link_count,transform_link_count,sample_transform_links,migration_difficulty,difficulty_flags,appears_complete,recommended_treatment,decision_needed,notes_extra
article,article,gid://shopify/Article/405426405436,BJJ Positional Study: Shin-to-Shin & Single Leg X (Ashi Garami),positional-study-shin-to-shin-single-leg-x-ashi-garami,blog,Articles,/blogs/blog/positional-study-shin-to-shin-single-leg-x-ashi-garami,true,2017-12-06T00:00:00Z,2020-01-04T02:38:09Z,2023-12-10T09:21:02Z,JJB Admin,true,157,html,8667,11825,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Shin_to_Shin_Study.png?v=1579517716,,BJJ Positional Study: Shin-to-Shin & Single Leg X (Ashi Garami),Shin-to-Shin Guard and Ashi Garami are two of the most popular guard variations in the modern BJJ game. This case-study explains how to use them effectively.,belts|Gis|rashguards,8,no,0,8,1,8,http://www.jiujitsubrotherhood.com/wp-content/uploads/Shin-to-Shin-Guard-1.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/Shin-to-Shin-Guard-Ashi-Garami-Single-Leg-x-2.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/Elevation.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/elevate-2.jpg | http://www.jiujitsubrotherhood.com/wp-content/uploads/Ashi-Entry.jpg,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426044988,A Coach is More Than Just a Teacher,a-coach-is-more-than-just-a-teacher,blog,Articles,/blogs/blog/a-coach-is-more-than-just-a-teacher,true,2017-09-17T23:00:00Z,2020-01-04T02:37:50Z,2023-12-10T09:45:38Z,JJB Admin,true,147,html,9577,10186,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Coach_more_than_teacher.png?v=1579525996,,,Being a coach is a huge responsibility. You never know just how much you might positively affect someone's life.,Gis|rashguards,1,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426012220,The Gracies - First Family of Jiu Jitsu,the-gracies-first-family-of-jiu-jitsu,blog,Articles,/blogs/blog/the-gracies-first-family-of-jiu-jitsu,true,2017-07-23T23:00:00Z,2020-01-04T02:37:49Z,2023-12-10T09:46:41Z,JJB Admin,true,176,html,19923,21273,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/The_Gracies.png?v=1579526849,,The Gracies - First Family of Martial Arts | Jiu Jitsu Brotherhood,"The Gracie Dynasty has had a huge influence on BJJ . Although some dispute the claims made by the family, nobody can deny their contribution.",belts|Gis|patches|rashguards,0,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425782844,5 Ways Jiu Jitsu Benefits Children with Autism,5-ways-jiujitsu-benefits-children-autism,blog,Articles,/blogs/blog/5-ways-jiujitsu-benefits-children-autism,true,2017-02-23T00:00:00Z,2020-01-04T02:37:38Z,2023-12-10T09:48:39Z,JJB Admin,true,104,html,5284,5435,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/BJJ_Autism.png?v=1579531180,,5 Ways Jiu Jitsu Benefits Children with Autism,How two teachers in Japan are using BJJ to help students with autism.,belts|patches|rashguards,0,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425487932,The Importance of Footwork in Jiu Jitsu,importance-footwork-jiu-jitsu,blog,Articles,/blogs/blog/importance-footwork-jiu-jitsu,true,2016-10-01T23:00:00Z,2020-01-04T02:37:24Z,2023-12-10T09:49:29Z,JJB Admin,true,161,html,5415,6253,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Footwork.png?v=1579618550,,How to Use Your Feet to Maximum Advantage in Jiu Jitsu,Three simple and easy-to-implement jiu jitsu concepts that will allow you to use your feet for more effectively while rolling.,belts|patches|rashguards,3,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425520700,Cutting Weight for Jiu Jitsu Competitions: The Ultimate Guide,cut-weight-jiu-jitsu-competitions,blog,Articles,/blogs/blog/cut-weight-jiu-jitsu-competitions,true,2016-10-20T23:00:00Z,2020-01-04T02:37:31Z,2023-12-10T09:50:00Z,JJB Admin,true,152,html,26795,27400,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Cutting_Weight.png?v=1579598972,,How to Cut Weight for BJJ Tournaments - The Definitive Guide,Want to drop weight fast or figure out which division to enter? This article will help you do it quickly and easily. Meal plans included.,Gis|rashguards,0,no,0,0,1,0,,A,,yes,MIGRATE,no,Competition advice article — not a JJB past event
article,article,gid://shopify/Article/405425094716,Become a Master of Escapes,become-a-master-of-escapes,blog,Articles,/blogs/blog/become-a-master-of-escapes,true,2015-01-14T00:00:00Z,2020-01-04T02:37:05Z,2023-12-11T09:12:08Z,JJB Admin,true,189,html,5525,5761,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/jiu-jitsu-moves.jpg?v=1578105426,jiu jitsu moves,Escapes - The Most Important Jiu JItsu Moves of All,"Most BJJ practitioners focus their energy on sweeps and submissions, but learning to defend against bad positions and get out of danger is more important.",belts|Gis|rashguards,0,no,0,0,0,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405424832572,A Deeper Understanding of Jiu Jitsu,a-deeper-understanding-of-jiu-jitsu,blog,Articles,/blogs/blog/a-deeper-understanding-of-jiu-jitsu,true,2014-05-26T23:00:00Z,2020-01-04T02:36:52Z,2023-12-11T09:12:41Z,JJB Admin,true,182,html,9799,10656,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Understanding_BJJ.png?v=1579626119,,Making the Most of Your Jiu Jitsu Classes,Incorporating these principles into the design of your BJJ training program will greatly increase the speed and retention of your learning process.,belts|patches|rashguards,1,no,0,0,2,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426765884,"No, You Didn't Start Jiu Jitsu Too Late",no-you-didnt-start-jiu-jitsu-too-late,blog,Articles,/blogs/blog/no-you-didnt-start-jiu-jitsu-too-late,true,2018-07-23T23:00:00Z,2020-01-04T02:38:32Z,2023-12-11T09:13:42Z,JJB Admin,true,135,html,9645,11093,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Not_too_late.png?v=1579511960,,"No, You Didn't Start Jiu Jitsu Too Late","Many of us regret starting jiu jitsu late in life, but in some ways this can actually be beneficial.",patches|rashguards,2,no,0,2,0,2,http://www.jiujitsubrotherhood.com/wp-content/uploads/Number-of-competitors.jpeg | http://www.jiujitsubrotherhood.com/wp-content/uploads/Framework_art.png,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/414230478908,Taking Inspiration From Helvécio Penna,taking-inspiration-from-helvecio-penna,blog,Articles,/blogs/blog/taking-inspiration-from-helvecio-penna,true,2020-01-29T15:06:00Z,2020-01-26T10:10:06Z,2023-12-11T09:14:03Z,JJB Admin,true,262,html,1298,1759,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Helvecio_Penna.png?v=1580061107,,,"This video explores the impactful narrative of a Jiu-Jitsu practitioner who has left an indelible mark on the community. Whether you're familiar with Helvécio Penna's story or discovering it for the first time, it serves as a source of motivation and reflection.",Gis|rashguards,0,yes,1,0,1,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/405424767036,Why Concepts Are Better Than Techniques in BJJ,why-concepts-are-better-than-techniques-in-bjj,blog,Articles,/blogs/blog/why-concepts-are-better-than-techniques-in-bjj,true,2020-02-10T08:11:00Z,2020-01-04T02:36:49Z,2023-12-11T09:17:47Z,JJB Admin,true,106,html,10132,10474,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/kit-dale-jiu-jitsu-technique.jpg?v=1578105410,kit dale jiu jitsu technique,,Learn how Kit Dale achieved a Black Belt in 4 years using BJJ concepts.,belts|patches|rashguards,0,no,0,1,0,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/475257012284,Top 5 Injury Prevention Stretches for Jiu Jitsu,top-5-injury-prevention-stretches-for-jiu-jitsu,blog,Articles,/blogs/blog/top-5-injury-prevention-stretches-for-jiu-jitsu,true,2020-06-29T08:44:00Z,2020-06-25T10:06:17Z,2023-12-11T09:23:49Z,JJB Admin,true,165,html,5852,6721,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Stretches.png?v=1593439079,,,"This article offers a practical guide to stretches designed to enhance flexibility, reduce the risk of injury, and contribute to a more resilient Jiu-Jitsu practice.",Gis|rashguards,1,no,0,1,2,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/492891930684,My Journey into Footlocks,my-journey-into-footlocks,blog,Articles,/blogs/blog/my-journey-into-footlocks,true,2021-02-08T08:27:43Z,2021-01-30T09:24:11Z,2023-12-11T09:28:59Z,JJB Admin,true,120,html,5381,6015,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/My_Journey_into_Footlocks.png?v=1611998652,,,This article takes you on renowned half guard player Oli Geddes' exploration of and journey with footlocks in Jiu-Jitsu.,belts|rashguards|spats,2,no,0,1,0,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/405426831420,The Single-Leg Takedown: A Conceptual Approach,the-single-leg-takedown-a-conceptual-approach,blog,Articles,/blogs/blog/the-single-leg-takedown-a-conceptual-approach,true,2018-08-19T23:00:00Z,2020-01-04T02:38:35Z,2023-12-11T09:31:28Z,JJB Admin,true,176,html,7927,8813,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Single_Legs.png?v=1579453806,,,The single-leg is a versatile takedown can be used in both BJJ and submission grappling. These are the principals which make it so effective.,belts|patches|rashguards,0,no,0,1,2,1,https://store.jiujitsubrotherhood.com/products/beyond-technique,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/555456167996,"The Neck, Grappling Arts and Tech Devices",the-neck-grappling-arts-and-tech-devices,blog,Articles,/blogs/blog/the-neck-grappling-arts-and-tech-devices,true,2021-04-05T06:00:00Z,2021-03-15T08:48:55Z,2023-12-11T09:39:11Z,JJB Admin,true,146,html,6682,9576,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/GLP_FHP.png?v=1615800167,,,"This article offers insights into the importance of understanding neck anatomy, the role of technology, and their combined impact on our training.",belts|patches|rashguards,8,no,0,1,1,0,,B,div-heavy,yes,MIGRATE,no,
article,article,gid://shopify/Article/555612733500,The Mauricio Gomes Chronicles - Part 1,the-mauricio-gomes-chronicles-part-1,blog,Articles,/blogs/blog/the-mauricio-gomes-chronicles-part-1,true,2021-05-09T08:48:56Z,2021-05-05T09:00:07Z,2023-12-11T09:40:07Z,JJB Admin,true,125,html,240,563,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/MG_Chronicles_1.png?v=1620205207,,,"In this fascinating and heartfelt interview, Roger Gracie's father, Mauricio Gomes, discusses his early years on the mats, from when he started training with his father as a small child, and answers questions on the philosophy of jiu jitsu.",belts|Gis|spats,0,yes,1,0,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/555612799036,The Mauricio Gomes Chronicles - Part 2,the-mauricio-gomes-chronicles-part-2,blog,Articles,/blogs/blog/the-mauricio-gomes-chronicles-part-2,true,2021-05-16T08:49:24Z,2021-05-05T09:04:27Z,2023-12-11T09:40:18Z,JJB Admin,true,127,html,198,521,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/MG_Chronicles_2.png?v=1620205467,,,"In the second instalment of his interview series, Mauricio Gomes discusses what happened to him in the years following the death of his mentor and friend Rolls Gracie and the birth of his son Roger.",belts|Gis|patches,0,yes,1,0,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/555612831804,The Mauricio Gomes Chronicles - Part 3,the-mauricio-gomes-chronicles-part-3,blog,Articles,/blogs/blog/the-mauricio-gomes-chronicles-part-3,true,2021-05-24T07:03:36Z,2021-05-05T09:09:43Z,2023-12-11T09:41:40Z,JJB Admin,true,100,html,259,641,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/MG_Chronicles_3.png?v=1620205784,,,"In the third and final instalment of his interview series, Mauricio Gomes discusses opening his first gym in the United Kingdom, Roger's incredible competition career, his own personal teaching style, the growth and changing nature of jiu jitsu and much more!",belts|Gis|patches,0,yes,1,0,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/555437391932,Physical Health and Fitness Benefits Of Brazilian Jiu-Jitsu,physical-health-and-fitness-benefits-of-brazilian-jiu-jitsu,blog,Articles,/blogs/blog/physical-health-and-fitness-benefits-of-brazilian-jiu-jitsu,true,2021-03-15T07:59:02Z,2021-03-06T08:58:37Z,2023-12-11T09:42:43Z,JJB Admin,true,166,html,8101,9275,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Health_and_Fitness_Benefits.png?v=1615021827,,,"Brazilian Jiu-Jitsu is not only a sport, a martial art, but it is also a lifestyle with the ability to transform the mind and body.",Gis|rashguards,0,yes,0,0,8,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/555842961468,Gripping and Hand Issues in Jiu Jitsu,gripping-and-hand-issues-in-jiu-jitsu,blog,Articles,/blogs/blog/gripping-and-hand-issues-in-jiu-jitsu,true,2021-08-02T06:51:48Z,2021-07-12T08:07:27Z,2023-12-11T09:44:49Z,JJB Admin,true,116,html,2943,3272,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Gripping_Hand_Issues.png?v=1626077248,,,"This article offers insights into maintaining the health of our hands, a crucial foundation for effective grappling.",belts|Gis|spats,1,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/555612864572,"Rolls, Rickson, Renzo or Roger Gracie - Who Was the Best?",rolls-rickson-renzo-or-roger-gracie-who-was-the-best,blog,Articles,/blogs/blog/rolls-rickson-renzo-or-roger-gracie-who-was-the-best,true,2021-09-30T07:06:36Z,2021-05-05T09:18:40Z,2023-12-11T09:52:41Z,JJB Admin,true,60,html,119,524,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Who_is_the_GOAT.png?v=1620206321,,,"Roger Gracie's father, Mauricio Gomes, answers the question.",Gis|rashguards,0,yes,1,0,1,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/458740072508,The Story of Rolls Gracie and Bob Anderson,the-story-of-rolls-gracie-and-bob-anderson,blog,Articles,/blogs/blog/the-story-of-rolls-gracie-and-bob-anderson,true,2020-05-18T07:29:00Z,2020-05-17T13:45:51Z,2023-12-11T09:53:02Z,JJB Admin,true,209,html,176,552,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Rolls_v_Bob_Anderson.jpg?v=1589723151,,,"The American wrestler and coach, Bob Anderson, tells the story of how he met and trained with Rolls Gracie, in 1978.",Gis|rashguards,0,yes,1,0,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/556170739772,Return of the Long Lost Gracie Gold Medal,return-of-the-long-lost-gracie-gold-medal,blog,Articles,/blogs/blog/return-of-the-long-lost-gracie-gold-medal,true,2021-11-08T07:53:34Z,2021-11-07T08:37:23Z,2023-12-11T09:53:41Z,JJB Admin,true,137,html,257,672,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/BLOG_POST_IMAGE_TEMPLATE_31dd6727-4d4a-4eb4-ad2e-1308c36d2804.png?v=1636274243,,,Bob Anderson returns a Pan American Gold medal to the Gracie Family after 40 years of holding onto it.,Gis|rashguards,0,yes,1,1,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/556366692412,Roger Gracie's Father Sparring Aged 64,roger-gracies-father-sparring-aged-64,blog,Articles,/blogs/blog/roger-gracies-father-sparring-aged-64,true,2022-01-20T14:28:12Z,2022-01-20T14:27:46Z,2023-12-11T09:57:02Z,JJB Admin,true,144,html,202,531,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Roger_Gracie_s_Father_Sparring.png?v=1642688866,,,"This great clip shows Roger Gracie's father, coral belt Mauricio Gomes, sparring with one of his students at the Roger Gracie Academy in London.",Gis|rashguards,0,yes,1,0,1,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425455164,Family Jiu-Jitsu,family-jiu-jitsu,blog,Articles,/blogs/blog/family-jiu-jitsu,true,2016-07-14T23:00:00Z,2020-01-04T02:37:23Z,2023-12-11T09:57:20Z,JJB Admin,true,149,html,3406,3646,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Family_BJJ.png?v=1579619280,,Training BJJ Classes with the Whole Family,A mother of three describes her own jiu jitsu journey and how training with her young children has improved their relationship.,Gis|rashguards,0,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/555868192828,Hélio Gracie's Big Concern,helio-gracies-big-concern,blog,Articles,/blogs/blog/helio-gracies-big-concern,true,2021-08-09T06:32:24Z,2021-07-21T09:43:18Z,2023-12-11T09:58:03Z,JJB Admin,true,125,html,14575,15171,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Copy_of_BLOG_POST_IMAGE_TEMPLATE.png?v=1626860599,,,This excerpt from Richard Bresler's memoir delves into a particular concern that shaped Helio Gracie's approach to Jiu-Jitsu.,belts|Gis|patches|spats,0,no,0,0,2,0,,A,,yes,MIGRATE,no,
technique,technique,gid://shopify/Article/556721700924,Old-School Self-Defence with Mauricio Gomes,old-school-self-defence-with-mauricio-gomes,techniques,Techniques,/blogs/techniques/old-school-self-defence-with-mauricio-gomes,true,2022-05-02T08:18:34Z,2022-05-02T08:13:56Z,2023-12-11T11:19:52Z,JJB Admin,true,192,html,690,1916,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Old_School_Self_Defence.png?v=1651479236,,,"In this series of four videos, jiu jitsu legend Mauricio Gomes teaches four very simple self-defence techniques that all jiu jitsu practitioners should know.",Gis|rashguards,0,yes,4,0,1,0,,C,embed;product-like-tags,yes,MIGRATE,no,Tags look like Shopify product collection tags; strip on import
article,article,gid://shopify/Article/556971262012,6 Tips For Older Jiu Jitsu Players,6-tips-for-older-jiu-jitsu-players,blog,Articles,/blogs/blog/6-tips-for-older-jiu-jitsu-players,true,2022-08-07T06:45:47Z,2022-07-20T19:08:06Z,2023-12-11T11:23:20Z,JJB Admin,true,334,html,2730,3669,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/6_Tips_Older_Jiu_Jitsu_Player.png?v=1658419031,,,"This article provides practical insights and strategies tailored to enhance the experience and longevity of those who have been on the mats for a bit longer. Whether you're an experienced practitioner or just starting your Jiu-Jitsu adventure, this read offers valuable wisdom.",belts|patches|spats,3,no,0,0,1,0,,A,,yes,MIGRATE,no,
article,article,gid://shopify/Article/556513329212,Passivity as a Tool for Self Defence,passivity-as-a-tool-for-self-defence,blog,Articles,/blogs/blog/passivity-as-a-tool-for-self-defence,true,2022-03-09T09:29:46Z,2022-03-09T09:29:46Z,2023-12-11T11:25:01Z,JJB Admin,true,189,html,8751,9788,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Passivity.png?v=1646818187,,,"This article challenges traditional notions and explores the potential benefits of adopting a passive stance in certain situations. Whether you're a seasoned self-defense enthusiast or someone curious about alternative approaches, this read offers thought-provoking insights.",belts|rashguards|spats,0,yes,1,0,0,0,,C,embed,yes,MIGRATE,no,
article,article,gid://shopify/Article/405425750076,Jiu Jitsu - Better than Dieting,jiu-jitsu-better-dieting,blog,Articles,/blogs/blog/jiu-jitsu-better-dieting,true,2017-02-09T00:00:00Z,2020-01-04T02:37:36Z,2023-12-11T11:25:49Z,JJB Admin,true,136,html,4594,4938,true,https://cdn.shopify.com/s/files/1/0363/5125/articles/Better_than_Dieting.png?v=1579536254,,Jiu Jitsu - Better than Dieting,How an exhausted and overworked mother of three used regular jiu jitsu classes to reclaim her health.,belts|patches|spats,1,no,0,0,1,0,,A,,yes,MIGRATE,no,
